comuna;region;year;month;day;str_date;n_contadores;count_1;count_2
COPIAPO;3;2018;1;6;6-1-2018;8;1478;0
SANTA CRUZ;6;2018;1;6;6-1-2018;1;205;0
RANCAGUA;6;2018;1;6;6-1-2018;1;411;0
PUERTO AYSÉN;11;2018;1;6;6-1-2018;12;261;0
VALDIVIA;14;2018;1;7;7-1-2018;3;286;0
HUALPÉN;8;2018;1;7;7-1-2018;2;172;0
TALCAHUANO;8;2018;1;7;7-1-2018;3;578;0
LOS ANGELES;8;2018;1;7;7-1-2018;2;384;0
CONCEPCION;8;2018;1;7;7-1-2018;2;693;0
CORONEL;8;2018;1;7;7-1-2018;2;452;0
ARICA;15;2018;1;7;7-1-2018;7;1211;0
Temuco;9;2018;1;7;7-1-2018;6;2949;0
VILLARICA;9;2018;1;7;7-1-2018;4;345;0
TEMUCO;9;2018;1;7;7-1-2018;10;3483;0
VICTORIA;9;2018;1;7;7-1-2018;3;445;0
PUNTA ARENAS;12;2018;1;7;7-1-2018;6;1089;0
PUERTO NATALES;12;2018;1;7;7-1-2018;6;404;0
ANTOFAGASTA;2;2018;1;7;7-1-2018;4;549;0
CALAMA;2;2018;1;7;7-1-2018;7;1560;0
LA SERENA;4;2018;1;7;7-1-2018;3;328;0
TALAGANTE;13;2018;1;7;7-1-2018;3;746;0
BUIN;13;2018;1;7;7-1-2018;1;565;0
PUERTO MONTT;10;2018;1;7;7-1-2018;4;473;0
COPIAPO;3;2018;1;7;7-1-2018;8;927;0
SANTA CRUZ;6;2018;1;7;7-1-2018;1;178;0
RANCAGUA;6;2018;1;7;7-1-2018;1;310;0
PUERTO AYSÉN;11;2018;1;7;7-1-2018;12;564;0
VALDIVIA;14;2018;1;8;8-1-2018;3;452;0
HUALPÉN;8;2018;1;8;8-1-2018;2;179;0
TALCAHUANO;8;2018;1;8;8-1-2018;3;677;0
LOS ANGELES;8;2018;1;8;8-1-2018;2;846;0
CONCEPCION;8;2018;1;8;8-1-2018;2;1388;0
CORONEL;8;2018;1;8;8-1-2018;2;703;0
ARICA;15;2018;1;8;8-1-2018;7;2181;0
Temuco;9;2018;1;8;8-1-2018;6;3878;0
VILLARICA;9;2018;1;8;8-1-2018;4;566;0
TEMUCO;9;2018;1;8;8-1-2018;10;4150;0
VICTORIA;9;2018;1;8;8-1-2018;3;811;0
PUNTA ARENAS;12;2018;1;8;8-1-2018;6;536;0
PUERTO NATALES;12;2018;1;8;8-1-2018;6;506;0
ANTOFAGASTA;2;2018;1;8;8-1-2018;4;766;0
CALAMA;2;2018;1;8;8-1-2018;7;2233;0
LA SERENA;4;2018;1;8;8-1-2018;3;568;0
TALAGANTE;13;2018;1;8;8-1-2018;3;1050;0
BUIN;13;2018;1;8;8-1-2018;1;795;0
PUERTO MONTT;10;2018;1;8;8-1-2018;4;624;0
COPIAPO;3;2018;1;8;8-1-2018;8;1914;0
SANTA CRUZ;6;2018;1;8;8-1-2018;1;380;0
RANCAGUA;6;2018;1;8;8-1-2018;1;568;0
PUERTO AYSÉN;11;2018;1;8;8-1-2018;12;780;0
VALDIVIA;14;2018;1;9;9-1-2018;3;522;0
HUALPÉN;8;2018;1;9;9-1-2018;2;201;0
TALCAHUANO;8;2018;1;9;9-1-2018;3;779;0
LOS ANGELES;8;2018;1;9;9-1-2018;2;816;0
CONCEPCION;8;2018;1;9;9-1-2018;2;1636;0
CORONEL;8;2018;1;9;9-1-2018;2;917;0
ARICA;15;2018;1;9;9-1-2018;7;2483;0
Temuco;9;2018;1;9;9-1-2018;6;4332;0
VILLARICA;9;2018;1;9;9-1-2018;4;527;0
TEMUCO;9;2018;1;9;9-1-2018;10;4456;0
VICTORIA;9;2018;1;9;9-1-2018;3;851;0
PUNTA ARENAS;12;2018;1;9;9-1-2018;6;884;0
PUERTO NATALES;12;2018;1;9;9-1-2018;6;737;0
ANTOFAGASTA;2;2018;1;9;9-1-2018;4;843;0
CALAMA;2;2018;1;9;9-1-2018;7;2278;0
LA SERENA;4;2018;1;9;9-1-2018;3;580;0
TALAGANTE;13;2018;1;9;9-1-2018;3;1036;0
BUIN;13;2018;1;9;9-1-2018;1;813;0
PUERTO MONTT;10;2018;1;9;9-1-2018;4;571;0
COPIAPO;3;2018;1;9;9-1-2018;8;2146;0
SANTA CRUZ;6;2018;1;9;9-1-2018;1;272;0
RANCAGUA;6;2018;1;9;9-1-2018;1;581;0
PUERTO AYSÉN;11;2018;1;9;9-1-2018;12;886;0
VALDIVIA;14;2018;1;10;10-1-2018;3;427;0
HUALPÉN;8;2018;1;10;10-1-2018;2;183;0
TALCAHUANO;8;2018;1;10;10-1-2018;3;747;0
LOS ANGELES;8;2018;1;10;10-1-2018;2;862;0
CONCEPCION;8;2018;1;10;10-1-2018;2;1715;0
CORONEL;8;2018;1;10;10-1-2018;2;754;0
ARICA;15;2018;1;10;10-1-2018;7;2342;0
Temuco;9;2018;1;10;10-1-2018;6;3886;0
VILLARICA;9;2018;1;10;10-1-2018;4;522;0
TEMUCO;9;2018;1;10;10-1-2018;10;4389;0
VICTORIA;9;2018;1;10;10-1-2018;3;887;0
PUNTA ARENAS;12;2018;1;10;10-1-2018;6;976;0
PUERTO NATALES;12;2018;1;10;10-1-2018;6;750;0
ANTOFAGASTA;2;2018;1;10;10-1-2018;4;817;0
CALAMA;2;2018;1;10;10-1-2018;7;2413;0
LA SERENA;4;2018;1;10;10-1-2018;3;568;0
TALAGANTE;13;2018;1;10;10-1-2018;3;1005;0
BUIN;13;2018;1;10;10-1-2018;1;843;0
PUERTO MONTT;10;2018;1;10;10-1-2018;4;590;0
COPIAPO;3;2018;1;10;10-1-2018;8;2068;0
SANTA CRUZ;6;2018;1;10;10-1-2018;1;390;0
RANCAGUA;6;2018;1;10;10-1-2018;1;589;0
PUERTO AYSÉN;11;2018;1;10;10-1-2018;12;971;0
VALDIVIA;14;2018;1;11;11-1-2018;3;492;0
HUALPÉN;8;2018;1;11;11-1-2018;2;194;0
TALCAHUANO;8;2018;1;11;11-1-2018;3;691;0
LOS ANGELES;8;2018;1;11;11-1-2018;2;857;0
CONCEPCION;8;2018;1;11;11-1-2018;2;1517;0
CORONEL;8;2018;1;11;11-1-2018;2;767;0
ARICA;15;2018;1;11;11-1-2018;7;2413;0
Temuco;9;2018;1;11;11-1-2018;6;3913;0
VILLARICA;9;2018;1;11;11-1-2018;4;584;0
TEMUCO;9;2018;1;11;11-1-2018;10;4439;0
VICTORIA;9;2018;1;11;11-1-2018;3;904;0
PUNTA ARENAS;12;2018;1;11;11-1-2018;6;938;0
PUERTO NATALES;12;2018;1;11;11-1-2018;6;797;0
ANTOFAGASTA;2;2018;1;11;11-1-2018;4;753;0
CALAMA;2;2018;1;11;11-1-2018;7;2338;0
LA SERENA;4;2018;1;11;11-1-2018;3;561;0
TALAGANTE;13;2018;1;11;11-1-2018;3;1003;0
BUIN;13;2018;1;11;11-1-2018;1;749;0
PUERTO MONTT;10;2018;1;11;11-1-2018;4;613;0
COPIAPO;3;2018;1;11;11-1-2018;8;2013;0
SANTA CRUZ;6;2018;1;11;11-1-2018;1;337;0
RANCAGUA;6;2018;1;11;11-1-2018;1;560;0
PUERTO AYSÉN;11;2018;1;11;11-1-2018;12;954;0
VALDIVIA;14;2018;1;12;12-1-2018;3;426;0
HUALPÉN;8;2018;1;12;12-1-2018;2;180;0
TALCAHUANO;8;2018;1;12;12-1-2018;3;721;0
LOS ANGELES;8;2018;1;12;12-1-2018;2;1042;0
CONCEPCION;8;2018;1;12;12-1-2018;2;1484;0
CORONEL;8;2018;1;12;12-1-2018;2;776;0
ARICA;15;2018;1;12;12-1-2018;7;2389;0
Temuco;9;2018;1;12;12-1-2018;6;3629;0
VILLARICA;9;2018;1;12;12-1-2018;4;637;0
TEMUCO;9;2018;1;12;12-1-2018;10;3985;0
VICTORIA;9;2018;1;12;12-1-2018;3;816;0
PUNTA ARENAS;12;2018;1;12;12-1-2018;6;646;0
PUERTO NATALES;12;2018;1;12;12-1-2018;6;533;0
ANTOFAGASTA;2;2018;1;12;12-1-2018;4;789;0
CALAMA;2;2018;1;12;12-1-2018;7;2259;0
LA SERENA;4;2018;1;12;12-1-2018;3;623;0
TALAGANTE;13;2018;1;12;12-1-2018;3;1050;0
BUIN;13;2018;1;12;12-1-2018;1;795;0
PUERTO MONTT;10;2018;1;12;12-1-2018;4;394;0
COPIAPO;3;2018;1;12;12-1-2018;8;2126;0
SANTA CRUZ;6;2018;1;12;12-1-2018;1;326;0
RANCAGUA;6;2018;1;12;12-1-2018;1;539;0
PUERTO AYSÉN;11;2018;1;12;12-1-2018;12;548;0
VALDIVIA;14;2018;1;13;13-1-2018;3;370;0
HUALPÉN;8;2018;1;13;13-1-2018;2;112;0
TALCAHUANO;8;2018;1;13;13-1-2018;3;692;0
LOS ANGELES;8;2018;1;13;13-1-2018;2;637;0
CONCEPCION;8;2018;1;13;13-1-2018;2;970;0
CORONEL;8;2018;1;13;13-1-2018;2;589;0
ARICA;15;2018;1;13;13-1-2018;7;1830;0
Temuco;9;2018;1;13;13-1-2018;6;3009;0
VILLARICA;9;2018;1;13;13-1-2018;4;474;0
TEMUCO;9;2018;1;13;13-1-2018;10;3334;0
VICTORIA;9;2018;1;13;13-1-2018;3;556;0
PUNTA ARENAS;12;2018;1;13;13-1-2018;6;558;0
PUERTO NATALES;12;2018;1;13;13-1-2018;6;346;0
ANTOFAGASTA;2;2018;1;13;13-1-2018;4;591;0
CALAMA;2;2018;1;13;13-1-2018;7;1987;0
LA SERENA;4;2018;1;13;13-1-2018;3;450;0
TALAGANTE;13;2018;1;13;13-1-2018;3;1041;0
BUIN;13;2018;1;13;13-1-2018;1;534;0
PUERTO MONTT;10;2018;1;13;13-1-2018;4;416;0
COPIAPO;3;2018;1;13;13-1-2018;8;1496;0
SANTA CRUZ;6;2018;1;13;13-1-2018;1;227;0
RANCAGUA;6;2018;1;13;13-1-2018;1;449;0
PUERTO AYSÉN;11;2018;1;13;13-1-2018;12;652;0
VALDIVIA;14;2018;1;14;14-1-2018;3;284;0
HUALPÉN;8;2018;1;14;14-1-2018;2;170;0
TALCAHUANO;8;2018;1;14;14-1-2018;3;576;0
LOS ANGELES;8;2018;1;14;14-1-2018;2;593;0
CONCEPCION;8;2018;1;14;14-1-2018;2;802;0
CORONEL;8;2018;1;14;14-1-2018;2;559;0
ARICA;15;2018;1;14;14-1-2018;7;1353;0
Temuco;9;2018;1;14;14-1-2018;6;2611;0
VILLARICA;9;2018;1;14;14-1-2018;4;430;0
TEMUCO;9;2018;1;14;14-1-2018;10;3207;0
VICTORIA;9;2018;1;14;14-1-2018;3;408;0
PUNTA ARENAS;12;2018;1;14;14-1-2018;6;750;0
PUERTO NATALES;12;2018;1;14;14-1-2018;6;443;0
ANTOFAGASTA;2;2018;1;14;14-1-2018;4;454;0
CALAMA;2;2018;1;14;14-1-2018;7;1755;0
LA SERENA;4;2018;1;14;14-1-2018;3;325;0
TALAGANTE;13;2018;1;14;14-1-2018;3;704;0
BUIN;13;2018;1;14;14-1-2018;1;459;0
PUERTO MONTT;10;2018;1;14;14-1-2018;4;396;0
COPIAPO;3;2018;1;14;14-1-2018;8;1276;0
SANTA CRUZ;6;2018;1;14;14-1-2018;1;159;0
RANCAGUA;6;2018;1;14;14-1-2018;1;394;0
PUERTO AYSÉN;11;2018;1;14;14-1-2018;12;762;0
VALDIVIA;14;2018;1;15;15-1-2018;3;456;0
HUALPÉN;8;2018;1;15;15-1-2018;2;164;0
TALCAHUANO;8;2018;1;15;15-1-2018;3;796;0
LOS ANGELES;8;2018;1;15;15-1-2018;2;1218;0
CONCEPCION;8;2018;1;15;15-1-2018;2;1569;0
CORONEL;8;2018;1;15;15-1-2018;2;814;0
ARICA;15;2018;1;15;15-1-2018;7;2443;0
